CellType,Key,Value,LowerBounds,UpperBounds,Fixed,Description
ONBC,a_Release,2.0,1.8,2.2,false,
ONBC,tau_Release,5.0,4.5,5.5,false,
PHOTO,aC,0.011,0.009,0.011,false,
PHOTO,kR1,439.99999999999983,360.0,440.0,false,
PHOTO,kF1,11.0,9.0,11.0,false,
PHOTO,kR2,110.0,90.0,110.0,false,
PHOTO,kR3,12.628,10.332,12.628,false,
PHOTO,kHYDRO,9899.999999999995,8100.0,9900.0,false,
PHOTO,kREC,0.638,0.522,0.638,false,
PHOTO,G0,1.9467077499478502,1.8,2.2,false,
PHOTO,iDARK,5544.0000033,4536.0000027,5544.0000033,false,
PHOTO,kg,11.0,9.0,11.0,false,
PHOTO,R_tot,3.0815567628947473,2.7,3.3,false,
PHOTO,T_tot,0.29339375252019056,0.27,0.33,false,
PHOTO,P_tot,0.0231,0.0189,0.0231,false,
PHOTO,lambda,0.6731160916398671,0.603,0.737,false,
PHOTO,C_m,0.02,0.018,0.022,true,Membrane capacitance (nF)
PHOTO,I_app,0.0,0.0,0.0,true,Applied current (pA)
PHOTO,gLEAK,0.5044163821169698,0.45,0.55,false,
PHOTO,ELEAK,77.0,69.3,84.7,true,Leak reversal potential (mV)
PHOTO,gH,3.1351987203591305,2.7,3.3,false,
PHOTO,eH,32.0,28.8,35.2,true,Ih reversal potential (mV)
PHOTO,gKV,2.0797545329825677,1.8,2.2,false,
PHOTO,eK,74.0,66.6,81.4,true,K+ reversal potential (mV)
PHOTO,gCa,0.6991466501728102,0.63,0.77,false,
PHOTO,eCa,12.5,11.25,13.75,true,Ca2+ Nernst factor (mV)
PHOTO,_Ca_0,1600.0,1440.0,1760.0,true,Resting calcium concentration (uM)
PHOTO,gKCa,5.296188071664693,4.5,5.5,false,
PHOTO,gCl,1.9363925691587065,1.8,2.2,false,
PHOTO,eCl,20.0,18.0,22.0,true,Cl- reversal potential (mV)
PHOTO,DCa,6.0e-8,5.4e-8,6.6e-8,true,Calcium diffusion coefficient (m2/s)
PHOTO,S1,3.14e-8,2.826e-8,3.454e-8,true,Shell surface area (m2)
PHOTO,DELTA,3.0e-5,2.7e-5,3.3e-5,true,Shell thickness (m)
PHOTO,V1,3.81e-13,3.429e-13,4.191e-13,true,Shell volume (m3)
PHOTO,V2,5.24e-13,4.716e-13,5.764e-13,true,Core volume (m3)
PHOTO,Lb1,0.4314698623769503,0.36,0.44,false,
PHOTO,Bl,450.00000000000006,450.0,550.0,false,
PHOTO,Lb2,0.18795204890176856,0.18,0.22,false,
PHOTO,Hb1,90.0,90.0,110.0,false,
PHOTO,Bh,270.00000000000006,270.0,330.0,false,
PHOTO,Hb2,81.00000000000003,81.0,99.0,false,
PHOTO,J_ex,22.0,18.0,22.0,false,
PHOTO,Cae,0.01,0.009,0.011,true,Extracellular Ca2+ concentration (mM)
PHOTO,K_ex,2.1681484781150315,2.07,2.53,false,
PHOTO,J_ex2,22.0,18.0,22.0,false,
PHOTO,K_ex2,0.49725595409421014,0.45,0.55,false,
PHOTO,l2,10.4337959803,8.5367421657,10.4337959803,false,
PHOTO,h2,0.025345828800000005,0.0253458288,0.0309782352,false,
PHOTO,k1,871.20001067,712.80000873,871.20001067,false,
PHOTO,k2,5.5,4.5,5.5,false,
PHOTO,k3,2.5933175472244816,2.2103290872,2.7015133288,false,
PHOTO,k4,0.0008077104000000004,0.0008077104,0.0009872016,false,
PHOTO,k5,0.009,0.009,0.011,false,
PHOTO,k6,0.0600465591,0.0600465591,0.0733902389,false,
PHOTO,k7,0.009053422200000003,0.0090534222,0.0110652938,false,
PHOTO,l3,96.50150112899999,78.955773651,96.501501129,false,
PHOTO,h3,0.0061739964,0.0061739964,0.0075459956,false,
PHOTO,tB,161.6931580835664,134.99998227,164.99997833,false,
PHOTO,tM,858.8775504709993,757.34830188,925.64792452,false,
PHOTO,tC,37708.506338602725,32312.791242,39493.411518,false,
PHOTO,tO,75.01976016052748,72.052000704,88.063556416,false,
PHOTO,alpha_Glu,1.0078549146151468,0.9,1.1,false,
PHOTO,V_Glu_half,-49.5,-49.5,-40.5,false,
PHOTO,V_Glu_slope,1.4919861539838224,1.35,1.65,false,
PHOTO,a_Glu,0.8132734384159864,0.72,0.88,false,
PHOTO,tau_Glu,43.99999999999999,36.0,44.0,false,
RPE,tau_RPE,3000.0,2700.0,3300.0,false,
RPE,I_app,0.0,0.0,0.0,true,Applied current (pA)
RPE,g_K_apical,5.0,4.5,5.5,false,
RPE,g_Cl_baso,2.0,1.8,2.2,false,
RPE,g_L_RPE,0.5,0.45,0.55,false,
RPE,E_Cl,-50.0,-55.0,-45.0,true,Cl- reversal potential (mV)
RPE,E_L_RPE,-60.0,-66.0,-54.0,true,Leak reversal potential (mV)
RPE,K_sub_rest,3.0,2.7,3.3,true,Resting subretinal K+ (mM)
RPE,k_RPE,0.0005,0.00045,0.00055,false,
RPE,alpha_K_RPE,0.001,0.0009,0.0011,false,
RPE,K_i,140.0,126.0,154.0,true,Intracellular K+ concentration (mM)
